402,quickly,2
403,supposed,2
404,party,2
405,grow,2
406,helped,2
407,rocks,2
408,dinosaur,2
409,race,2
410,their,2
411,gobbled,2
412,grown,2
413,cool,2
414,picked,2
415,fairy,2
416,ones,2
417,wasn't,2
418,wee,2
419,bumped,2
420,park,2
421,fixed,2
422,money,2
423,stopped,2
424,ups,2
425,you've,2
426,cross,2
427,use,2
428,airplane,2
429,yuck,2
430,under,2
431,shall,2
432,sandwich,2
433,unicorn,2
434,into,2
435,train,2
436,pancakes,2
437,he'll,2
438,frothy,2
439,changing,2
440,glasses,2
441,ladder,2
442,room,2
443,hello,2
444,bits,2
445,stood,2
446,part,2
447,road,2
448,pink,2
449,clip,2
450,they're,2
451,dry,2
452,sandy's,2
453,catch,2
454,about,2
455,gone,2
456,colours,2
457,card,2
458,bowl,2
459,arrived,2
460,thank,2
461,many,2
462,trains,2
463,bike,2
464,top,2
465,pushed,2
466,peppers,2
467,armpits,2
468,spinning,2
469,bath,2
470,looks,1
471,shiny,1
472,able,1
473,lights,1
474,sweet,1
475,wash,1
476,rub,1
477,hurry,1
478,<END,1
479,buyed,1
480,horrible,1
481,reach,1
482,children,1
483,door,1
484,tuesdays,1
485,dream,1
486,choose,1
487,needed,1
488,switch,1
489,bringed,1
490,leaves,1
491,burn,1
492,scared,1
493,nicely,1
494,everyone,1
495,voices,1
496,forth,1
497,glue,1
498,tea,1
499,drives,1
500,lonely,1
501,goodly,1
502,candles,1
503,tuesday,1
504,running,1
505,flight,1
506,would,1
507,float,1
508,whooshing,1
509,rest,1
510,carefully,1
511,short,1
512,pretty,1
513,ready,1
514,sleep,1
515,came,1
516,bird,1
517,sliding,1
518,self,1
519,everybody,1
520,wrote,1
521,night,1
522,though,1
523,walk,1
524,biggest,1
525,build,1
526,sports,1
527,coming,1
528,stir,1
529,balance,1
530,yourself,1
531,tail,1
532,sang,1
533,safe,1
534,gooder,1
535,way,1
536,bought,1
537,fishes,1
538,until,1
539,doctor,1
540,wind,1
541,climbing,1
542,we've,1
543,likes,1
544,talking,1
545,downstairs,1
546,minutes,1
547,hasn't,1
548,found,1
549,someone,1
550,yesterday,1
551,being,1
552,same,1
553,wants,1
554,fixing,1
555,how,1
556,ladybird,1
557,snack,1
558,ate,1
559,live,1
560,hope,1
561,colour,1
562,hate,1
563,floor,1
564,tall,1
565,should,1
566,pulls,1
567,few,1
568,paper,1
569,much,1
570,kangaroo,1
571,yellow,1
572,sheets,1
573,fish,1
574,waited,1
575,give,1
576,gets,1
577,tastes,1
578,coin,1
579,calm,1
580,turn,1
581,make,1
582,yay,1
583,fluffy,1
584,treat,1
585,smaller,1
586,brought,1
587,heat,1
588,mmmm,1
589,tree,1
590,it'll,1
591,turns,1
592,special,1
593,bouncing,1
594,ask,1
595,mouth,1
596,cuddly,1
597,icing,1
598,light,1
599,wees,1
600,fly,1
601,important,1
602,bang,1
603,along,1
604,together,1
605,kiss,1
606,later,1
607,won,1
608,might,1
609,right,1
610,days,1
611,perhaps,1
